p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
3.2994884507184838e-205,0.39596623984208845,0.916,0.981,1.106582436601965e-200,14,MT-ND4
1.1464087451275864e-202,0.4807263029937352,0.78,0.886,3.844825649408899e-198,14,EVL
3.323726290292199e-200,0.3422881949158838,0.962,0.995,1.1147113232381978e-195,14,HLA-E
3.8529303242237054e-199,0.876762769044978,0.429,0.301,1.2921957721381463e-194,14,OGT
7.992081147846351e-197,0.8958904764110113,0.481,0.38,2.6803841753647092e-192,14,CHD2
1.6613405411953963e-194,0.9187875179393087,0.398,0.265,5.57180390706112e-190,14,SATB1
7.688249120975539e-193,0.8503163172148471,0.494,0.404,2.5784849901927763e-188,14,ZC3HAV1
1.193337128549519e-192,0.8504396635897951,0.478,0.38,4.0022140617293766e-188,14,USP15
5.1533075461471255e-192,0.6666190701845482,0.66,0.704,1.728316284826823e-187,14,STK17B
5.535917530810316e-186,0.8484189843073351,0.363,0.225,1.8566360214831638e-181,14,MATR3.1
4.116655682744491e-185,0.8323916317930242,0.382,0.232,1.3806439828788475e-180,14,AC245014.3
4.3107344221621903e-184,0.9811411801360654,0.336,0.198,1.4457341105047554e-179,14,BCL2
1.4425035754390886e-175,0.710454197422606,0.621,0.667,4.837868491307615e-171,14,PNISR
6.369519696977142e-173,0.765211969443953,0.554,0.51,2.1362095159721936e-168,14,KIAA1551
1.4195396786563542e-169,0.7305078946239922,0.58,0.593,4.760852174277681e-165,14,CYTIP
7.30329122222028e-169,0.8805312765888349,0.363,0.235,2.4493778101082373e-164,14,ATP8A1
5.972258110622559e-167,0.7870124194776189,0.303,0.17,2.0029759251405937e-162,14,KDM6A
6.34750372582295e-167,0.8489411511436544,0.292,0.161,2.128825799566501e-162,14,STX16
1.1540784324798848e-166,0.8458327825187469,0.425,0.325,3.8705482468510374e-162,14,UBAC2
1.3183838425805164e-164,0.6538822597778537,0.606,0.642,4.421595731246536e-160,14,SF3B1
1.35958057397951e-162,0.8357249260124894,0.404,0.294,4.559761329012481e-158,14,SCML4
1.4816236276673632e-161,0.7971567688806994,0.515,0.475,4.969069322470803e-157,14,TMC8
3.0967372573970863e-159,0.29766684969141544,0.989,0.998,1.0385837413858348e-154,14,HLA-A
4.51356075466659e-156,0.7637979895608515,0.521,0.485,1.5137580059000809e-151,14,SLC38A1
2.849771712898513e-153,0.648720922688627,0.601,0.632,9.557564370719033e-149,14,PRKCH
4.6551079927338726e-153,0.840285594160828,0.288,0.165,1.5612301186030862e-148,14,THOC3
9.769210692898731e-151,0.8065319278131271,0.329,0.207,3.2763978821843766e-146,14,SPTBN1
2.928753609797765e-148,0.851677734311919,0.363,0.247,9.822453856539745e-144,14,INPP4B
7.479640619849589e-147,0.5105745084785289,0.712,0.819,2.5085218710851552e-142,14,FYB1
8.87454243113305e-147,0.29717644775290086,0.921,0.988,2.9763440405534026e-142,14,MT-ND5
9.758866211217206e-144,0.7791545951876544,0.492,0.447,3.2729285499180268e-139,14,RBM25
1.3488095709694527e-143,0.8008874662808151,0.425,0.333,4.523637539117351e-139,14,STK38
2.180983505813431e-138,0.7107047740981802,0.576,0.574,7.314582481797085e-134,14,ITGA4
2.496634693868003e-136,0.8006141499398995,0.365,0.261,8.373213436294508e-132,14,SECISBP2
2.5714914062350332e-136,0.7294940057100163,0.53,0.511,8.624267878231054e-132,14,SELPLG
2.6895345036273166e-136,0.7605859089463344,0.489,0.445,9.020160818265294e-132,14,TC2N
5.133616846581899e-122,0.7647371423661112,0.383,0.294,1.721712418006637e-117,14,DOCK8
5.590933059788476e-121,0.7533580447985943,0.324,0.22,1.875087129591859e-116,14,PHC3
3.1741866765040633e-119,0.7776620708781574,0.404,0.327,1.0645587275659327e-114,14,JMJD1C
3.8764830366786854e-119,0.7591920615133418,0.358,0.265,1.3000948808412975e-114,14,TTC17
6.642734473034224e-119,0.8089774960430822,0.394,0.32,2.227840287566218e-114,14,TMEM243
1.1847413596741114e-115,0.7496079083033196,0.268,0.163,3.973385572075035e-111,14,LUC7L
1.2729256343851137e-115,0.7429488086176386,0.261,0.156,4.269137992600794e-111,14,MBD5
1.4685167662184057e-115,0.727771419397583,0.259,0.155,4.925111530543289e-111,14,LMBR1
3.4217217949597516e-115,0.7369062340164718,0.397,0.318,1.1475770555936014e-110,14,STAT4
6.976950978712257e-115,0.589046611234733,0.583,0.617,2.3399298192405167e-110,14,RNF213
4.808058860624539e-113,0.7533800467587094,0.372,0.285,1.6125267806762579e-108,14,PCM1
3.046538683249731e-111,0.7759674855823518,0.374,0.294,1.0217481435882948e-106,14,GRAP2
1.8485159728880757e-110,0.7524249841369317,0.295,0.195,6.199552869872029e-106,14,MDM4
2.7312627278953034e-110,0.7166837055778161,0.276,0.174,9.160108936815269e-106,14,EXOC4
1.075266266362247e-109,0.6703659797387986,0.257,0.154,3.6062280041257044e-105,14,TCF12
2.2167217787218003e-109,0.7475863658934446,0.454,0.421,7.434441501477175e-105,14,AAK1
3.8966400759920386e-108,0.7070994216374555,0.545,0.58,1.30685514868621e-103,14,CCNL1
2.1539596584947311e-106,0.7904395447936902,0.407,0.346,7.223949902659629e-102,14,SORL1
6.309422628503598e-106,0.7268011346556112,0.256,0.157,2.1160541611475367e-101,14,RNPC3
2.319384699569442e-105,0.4301084504521755,0.68,0.623,7.778752405415995e-101,14,LTB
4.124519843347329e-103,0.7266601946827006,0.405,0.346,1.3832814650618271e-98,14,PHF3
1.5456711857739236e-102,0.6976192245982665,0.474,0.456,5.183872022848585e-98,14,SAMHD1
4.597993010541505e-100,0.7391996940031282,0.332,0.247,1.54207489587541e-95,14,USP11
6.074404752486931e-100,0.7131035976683348,0.408,0.351,2.0372338658890667e-95,14,PRPF8
1.7551837440647001e-99,0.5958203538153466,0.524,0.529,5.886535240844191e-95,14,EML4
7.568860300288962e-98,0.7274573202045618,0.464,0.456,2.538444367510912e-93,14,MGAT4A
8.488083703333745e-98,0.7214435623881151,0.312,0.222,2.8467335124240715e-93,14,TNIK
3.3111572060076075e-96,0.6638404398948768,0.431,0.393,1.1104959037508315e-91,14,TAF15
4.645043818110317e-94,0.6922396696088398,0.263,0.171,1.557854795717838e-89,14,IL17RA
3.0648191757100945e-93,0.7079664191331504,0.301,0.213,1.0278790551496515e-88,14,NLRP1
